1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17.a,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,version
18940,2,0,"73:Woman,:Prefer not to answer",Friend or neighbor (word of mouth),3 to 5 years,Retired,No,United States,English,I have no special dietary needs,Very satisfied,3-4 meals,100%,n/a,"I am able to pay my other bills (medical etc.),I am unable to get to the grocery store due to lack of transportation and JRA brings me food that I am unable to get on my own",No,,"Yes, my food needs are being met",n/a,Social Security,No,Sometimes true,Sometimes true,No,n/a,No,[List],Yes,Yes,No,No,Yes,n/a,A
19111,1,0,59:Woman,Social worker,1 to 3 years,Disabled,No,United States,English,"Low salt,Low sugar (diabetic)",Very satisfied,1-2 meals,50%,"Sardines, tomato-based products","I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own,I am unable to get to the grocery store due to lack of transportation and JRA brings me food that I am unable to get on my own",[List],"Almond Milk,Soy Milk","Yes, my food needs are being met",n/a,"Food stamps (SNAP),Disability (SSD)",No,Often true,Never true,No,No,No,No,n/a,I do not identify as Jewish,No,No,No,n/a,A
19116,1,0,83:Man,Friend or neighbor (word of mouth),3 to 5 years,Retired,No,United States,English,I have no special dietary needs,Very satisfied,7 or more meals,100%,n/a,"I have enough food to eat each month,I am able to pay my other bills (medical etc.),I feel more food secure",[List],Soy Milk,"Yes, my food needs are being met",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Thank you,A
19131,1,N/A,76:Woman,Social worker,1 to 3 years,"Retired,Disabled",No,United States,English,"Low salt,Low sugar (diabetic)",Satisfied,5-6 meals,75%,,"I have enough food to eat each month,I feel more food secure,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own",[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Golden Slipper",Yes,Never true,Never true,No,No,No,No,I do not identify as Jewish,I do not identify as Jewish,No,No,Yes,"I appreciate the food in the box, the service is very good and thank you all at JRA. God bless you all.",A
19152,2,0,"76:Woman,49:Woman",Flyer or Publication,More than 10 years,Retired,No,United States,English,Low salt,Satisfied,1-2 meals,100%,n/a,I am able to pay my other bills (medical etc.),[List],Almond Milk,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Cook for a Friend Meal Delivery,Social Security,Supplemental Security Income (SSI),Energy Assistance (LIHEAP)",No,Never true,Sometimes true,No,No,No,[List],Yes,Yes,No,No,Yes,,A
19154,1,0,71:Woman,Internet search,1 to 3 years,Retired,No,United States,English,I have no special dietary needs,Very satisfied,1-2 meals,100%,n/a,"I am able to pay my other bills (medical etc.),I feel more food secure",No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security,Energy Assistance (LIHEAP)",No,Sometimes true,Never true,No,No,No,No,I do not identify as Jewish,I do not identify as Jewish,No,No,No,n/a,A
19047,3,0,"74:Man,64:Woman,27:Man",Friend or neighbor (word of mouth),1 to 3 years,"Unemployed,Retired",No,USA/Israel,English,"Low salt,Low cholesterol,Low fat,Low sugar (diabetic)",Neutral,1-2 meals,50%,Pasta/crackers/corn/potatoes,n/a,[List],"Almond Milk,Soy Milk","No, my food needs are not being met","The quantity of food I receive is not sufficient,I have dietary restrictions (diabetes etc.)",Food stamps (SNAP),Yes,Sometimes true,Sometimes true,Don't know,Yes,Yes,[List],Yes,Yes,No,No,Yes,,A
19027,1,none,72:Woman,Social worker,1 to 3 years,Unemployed,No,United States,English,"Low salt,Low fat,Low sugar (diabetic)",Very satisfied,5-6 meals,75%,"the few things i may not use, i donate in-house","I have access to more nutritious food,I feel more food secure",No,,"Yes, my food needs are being met",n/a,"Food stamps (SNAP),Social Security",No,Never true,Never true,No,No,No,No,n/a,n/a,n/a,No,Yes,"although im out Jewish i do eat a lot of the same food. the desserts, breads, some (few) meats (corned beef)",A
19114,1,0,76:Man,Friend or neighbor (word of mouth),Less than one year,Retired,No,n/a,English,I have no special dietary needs,Very satisfied,1-2 meals,100%,,I have access to more nutritious food,No,,"Yes, my food needs are being met",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,A
19027,1,0,80:Man,Social worker,1 to 3 years,"Retired,Disabled",No,United States,English,Low salt,Neutral,3-4 meals,100%,n/a,"I feel more food secure,I have access to more nutritious food,I am unable to get to the grocery store due to an illness or disability and JRA brings me food that I am unable to get on my own",No,,"No, my food needs are not being met","The quantity of food I receive is not sufficient,I am not able to prepare the food myself","Food stamps (SNAP),Supplemental Security Income (SSI)",No,Often true,Often true,Yes:Almost every month,Yes,Yes,[List],Yes,Yes,No,No,Yes,,A
